直播,#genre#
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8

CCTV1,http://gs.tuntun.tech:6688/udp/239.93.0.184:5140
CCTV2,http://gs.tuntun.tech:6688/udp/239.93.1.23:6000
CCTV3,http://gs.tuntun.tech:6688/udp/239.93.1.11:2223
CCTV4,http://gs.tuntun.tech:6688/udp/239.93.1.105:5140
CCTV5,http://gs.tuntun.tech:6688/udp/239.93.1.12:2224
CCTV6,http://gs.tuntun.tech:6688/udp/239.93.1.13:2226
CCTV7,http://gs.tuntun.tech:6688/udp/239.93.1.67:5140
CCTV8,http://gs.tuntun.tech:6688/udp/239.93.42.39:5140
CCTV9,http://gs.tuntun.tech:6688/udp/239.93.1.24:5140
CCTV10,http://gs.tuntun.tech:6688/udp/239.93.1.28:5140
CCTV11,http://gs.tuntun.tech:6688/udp/239.93.0.102:5140
CCTV12,http://gs.tuntun.tech:6688/udp/239.93.1.30:8124
CCTV13,http://gs.tuntun.tech:6688/udp/239.93.0.66:5140
CCTV14,http://gs.tuntun.tech:6688/udp/239.93.1.29:6000
CCTV15,http://gs.tuntun.tech:6688/udp/239.93.0.103:5140
CCTV16,http://gs.tuntun.tech:6688/udp/239.93.42.53:5140
CCTV17,http://gs.tuntun.tech:6688/udp/239.93.0.92:5140
CCTV1杜比,http://gs.tuntun.tech:6688/udp/239.93.0.69:5140
CCTV5+,http://gs.tuntun.tech:6688/udp/239.93.1.36:8004
CGTN英语,http://gs.tuntun.tech:6688/udp/239.93.0.104:5140
CETV-4,http://gs.tuntun.tech:6688/udp/239.93.0.50:5140
四川卫视,http://gs.tuntun.tech:6688/udp/239.93.0.20:1235
湖南卫视,http://gs.tuntun.tech:6688/udp/239.93.0.88:5140
江苏卫视,http://gs.tuntun.tech:6688/udp/239.93.0.89:5140
浙江卫视,http://gs.tuntun.tech:6688/udp/239.93.0.124:5140
东方卫视,http://gs.tuntun.tech:6688/udp/239.93.0.123:5140
北京卫视,http://gs.tuntun.tech:6688/udp/239.93.0.180:5140
深圳卫视,http://gs.tuntun.tech:6688/udp/239.93.0.182:5140
广东卫视,http://gs.tuntun.tech:6688/udp/239.93.0.181:5140
天津卫视,http://gs.tuntun.tech:6688/udp/239.93.0.167:5140
山东卫视,http://gs.tuntun.tech:6688/udp/239.93.0.168:5140
康巴卫视,http://gs.tuntun.tech:6688/udp/239.93.0.41:5140
江西卫视,http://gs.tuntun.tech:6688/udp/239.93.0.134:5140
东南卫视 ,http://gs.tuntun.tech:6688/udp/239.93.0.42:5140
黑龙江卫视,http://gs.tuntun.tech:6688/udp/239.93.0.183:5140
重庆卫视,http://gs.tuntun.tech:6688/udp/239.93.1.107:5140
贵州卫视,http://gs.tuntun.tech:6688/udp/239.93.0.131:5140
湖北卫视,http://gs.tuntun.tech:6688/udp/239.93.0.250:5140
安徽卫视,http://gs.tuntun.tech:6688/udp/239.93.1.106:5140
河北卫视,http://gs.tuntun.tech:6688/udp/239.93.0.132:5140
辽宁卫视,http://gs.tuntun.tech:6688/udp/239.93.1.108:5140
河南卫视,http://gs.tuntun.tech:6688/udp/239.93.42.45:5140
广西卫视,http://gs.tuntun.tech:6688/udp/239.93.42.46:5140
云南卫视,http://gs.tuntun.tech:6688/udp/239.93.0.174:5140
吉林卫视,http://gs.tuntun.tech:6688/udp/239.93.0.248:5140
陕西卫视,http://gs.tuntun.tech:6688/udp/239.93.0.176:5140
山西卫视,http://gs.tuntun.tech:6688/udp/239.93.0.6:5140
内蒙古卫视,http://gs.tuntun.tech:6688/udp/239.93.0.8:5140
青海卫视,http://gs.tuntun.tech:6688/udp/239.93.0.192:5140
宁夏卫视,http://gs.tuntun.tech:6688/udp/239.93.0.247:5140
西藏卫视,http://gs.tuntun.tech:6688/udp/239.93.0.175:5140
新疆卫视,http://gs.tuntun.tech:6688/udp/239.93.0.194:5140
甘肃卫视,http://gs.tuntun.tech:6688/udp/239.93.0.81:5140
海南卫视,http://gs.tuntun.tech:6688/udp/239.93.0.80:5140
陕西农林,http://gs.tuntun.tech:6688/udp/239.93.0.100:5140
兵团卫视,http://gs.tuntun.tech:6688/udp/239.93.42.43:5140
厦门卫视,http://gs.tuntun.tech:6688/udp/239.93.42.57:5140
三沙卫视,http://gs.tuntun.tech:6688/udp/239.93.42.58:5140
CDTV-1,http://gs.tuntun.tech:6688/udp/239.93.0.16:5140
SCTV2,http://gs.tuntun.tech:6688/udp/239.93.1.101:5140
SCTV3,http://gs.tuntun.tech:6688/udp/239.93.1.102:5140
SCTV4,http://gs.tuntun.tech:6688/udp/239.93.0.47:5140
SCTV5,http://gs.tuntun.tech:6688/udp/239.93.0.166:5140
SCTV6,http://gs.tuntun.tech:6688/udp/239.93.1.144:5140
SCTV7,http://gs.tuntun.tech:6688/udp/239.93.0.219:5140
SCTV科教,http://gs.tuntun.tech:6688/udp/239.93.42.44:5140
四川乡村,http://gs.tuntun.tech:6688/udp/239.93.0.52:5140
绚影4K,http://gs.tuntun.tech:6688/udp/239.93.42.33:5140
无台标4K,http://gs.tuntun.tech:6688/udp/239.93.0.43:5140
爱上4K,http://gs.tuntun.tech:6688/udp/239.93.0.97:5140
爱上4K,http://gs.tuntun.tech:6688/udp/239.93.1.251:8224
4K电影,http://gs.tuntun.tech:6688/udp/239.93.1.156:5140
中录动漫4K,http://gs.tuntun.tech:6688/udp/239.93.1.188:5140
亲子趣学4K,http://gs.tuntun.tech:6688/udp/239.93.1.191:5140
津津悦读4K,http://gs.tuntun.tech:6688/udp/239.93.1.197:5140
军情观察4K,http://gs.tuntun.tech:6688/udp/239.93.1.198:5140
CCTV16 4K,http://gs.tuntun.tech:6688/udp/239.93.42.54:5140
CCTV16 4K,http://gs.tuntun.tech:6688/udp/239.93.42.63:5140
峨眉电影,http://gs.tuntun.tech:6688/udp/239.93.0.252:5140
SCTV2,http://gs.tuntun.tech:6688/udp/239.93.1.101:5140
SCTV3,http://gs.tuntun.tech:6688/udp/239.93.1.102:5140
SCTV4,http://gs.tuntun.tech:6688/udp/239.93.0.47:5140
SCTV5,http://gs.tuntun.tech:6688/udp/239.93.0.166:5140
SCTV6,http://gs.tuntun.tech:6688/udp/239.93.1.144:5140
SCTV7,http://gs.tuntun.tech:6688/udp/239.93.0.219:5140
SCTV科教,http://gs.tuntun.tech:6688/udp/239.93.42.44:5140
四川乡村,http://gs.tuntun.tech:6688/udp/239.93.0.52:5140
CDTV1,http://gs.tuntun.tech:6688/udp/239.93.0.16:5140
CDTV2,http://gs.tuntun.tech:6688/udp/239.93.0.17:1239
CDTV3,http://gs.tuntun.tech:6688/udp/239.93.0.18:1238
CDTV4,http://gs.tuntun.tech:6688/udp/239.93.0.19:1250
CDTV5,http://gs.tuntun.tech:6688/udp/239.93.1.231:5140
CDTV6,http://gs.tuntun.tech:6688/udp/239.93.0.21:1251
CDTV8,http://gs.tuntun.tech:6688/udp/239.93.0.22:1252
成都体育,http://gs.tuntun.tech:6688/udp/239.93.0.224:1281
上海纪实,http://gs.tuntun.tech:6688/udp/239.93.1.137:5140
金鹰纪实,http://gs.tuntun.tech:6688/udp/239.93.0.130:5140
中国交通·四川,http://gs.tuntun.tech:6688/udp/239.93.0.142:5140
CETV-1,http://gs.tuntun.tech:6688/udp/239.93.1.111:5140
熊猫新闻,http://gs.tuntun.tech:6688/udp/239.93.1.112:5140
熊猫体娱,http://gs.tuntun.tech:6688/udp/239.93.0.94:5140
熊猫少儿,http://gs.tuntun.tech:6688/udp/239.93.1.189:5140
熊猫影院,http://gs.tuntun.tech:6688/udp/239.93.0.214:5140
睛彩四川,http://gs.tuntun.tech:6688/udp/239.93.0.126:5140
成都大运,http://gs.tuntun.tech:6688/udp/239.93.0.224:1281
熊猫频道,http://gs.tuntun.tech:6688/udp/239.93.0.211:9148
金熊猫卡通,http://gs.tuntun.tech:6688/udp/239.93.1.172:5140
炫动卡通,http://gs.tuntun.tech:6688/udp/239.93.0.173:5140
嘉佳卡通,http://gs.tuntun.tech:6688/udp/239.93.0.246:5140
收视导视,http://gs.tuntun.tech:6688/udp/239.93.1.39:5140
熊猫爱生活,http://gs.tuntun.tech:6688/udp/239.93.1.190:5140
大爱四川 ,http://gs.tuntun.tech:6688/udp/239.93.1.110:5140
大爱旅游,http://gs.tuntun.tech:6688/udp/239.93.42.70:5140
大爱生活,http://gs.tuntun.tech:6688/udp/239.93.42.71:5140
大爱时尚,http://gs.tuntun.tech:6688/udp/239.93.42.72:5140
斗牛财经,http://gs.tuntun.tech:6688/udp/239.93.42.62:5140
HD看电影,http://gs.tuntun.tech:6688/udp/239.93.42.47:5140
家政频道,http://gs.tuntun.tech:6688/udp/239.93.42.48:5140
CETV-4,http://gs.tuntun.tech:6688/udp/239.93.0.50:5140
经典电影,http://gs.tuntun.tech:6688/udp/239.93.0.57:9024
华语影院,http://gs.tuntun.tech:6688/udp/239.93.0.138:5140
星光院线,http://gs.tuntun.tech:6688/udp/239.93.0.139:5140
全球大片,http://gs.tuntun.tech:6688/udp/239.93.0.105:5140
热播剧场,http://gs.tuntun.tech:6688/udp/239.93.0.56:9020
热门剧场,http://gs.tuntun.tech:6688/udp/239.93.0.140:5140
港剧风云,http://gs.tuntun.tech:6688/udp/239.93.0.143:5140
谍战剧场,http://gs.tuntun.tech:6688/udp/239.93.0.95:5140
卡酷动画,http://gs.tuntun.tech:6688/udp/239.93.0.208:5140
金鹰卡通,http://gs.tuntun.tech:6688/udp/239.93.0.108:5140
优漫卡通,http://gs.tuntun.tech:6688/udp/239.93.0.251:5140
宝宝动画,http://gs.tuntun.tech:6688/udp/239.93.0.147:5140
少儿动画,http://gs.tuntun.tech:6688/udp/239.93.0.193:9000
青春动漫,http://gs.tuntun.tech:6688/udp/239.93.0.146:5140
热门综艺,http://gs.tuntun.tech:6688/udp/239.93.0.151:5140
音乐现场,http://gs.tuntun.tech:6688/udp/239.93.0.198:9044
戏曲精选,http://gs.tuntun.tech:6688/udp/239.93.0.144:5140
戏曲,http://gs.tuntun.tech:6688/udp/239.93.0.217:9208
魅力时尚,http://gs.tuntun.tech:6688/udp/239.93.0.190:9012
生活时尚,http://gs.tuntun.tech:6688/udp/239.93.0.106:5140
大爱旅游,http://gs.tuntun.tech:6688/udp/239.93.1.234:5140
大爱生活,http://gs.tuntun.tech:6688/udp/239.93.1.235:5140
大爱时尚,http://gs.tuntun.tech:6688/udp/239.93.1.157:4120
爱生活,http://gs.tuntun.tech:6688/udp/239.93.0.206:8028
财富天下,http://gs.tuntun.tech:6688/udp/239.93.0.116:9136
东方财经,http://gs.tuntun.tech:6688/udp/239.93.0.249:5140
股评汇,http://gs.tuntun.tech:6688/udp/239.93.0.141:5140
爱体育,http://gs.tuntun.tech:6688/udp/239.93.0.135:9008
电竞天堂,http://gs.tuntun.tech:6688/udp/239.93.1.135:5140
游戏风云,http://gs.tuntun.tech:6688/udp/239.93.0.136:5140
汽车频道,http://gs.tuntun.tech:6688/udp/239.93.0.117:1292
足球,http://gs.tuntun.tech:6688/udp/239.93.0.197:9040
高网,http://gs.tuntun.tech:6688/udp/239.93.0.202:9068
台球,http://gs.tuntun.tech:6688/udp/239.93.0.203:9072
纪实人文,http://gs.tuntun.tech:6688/udp/239.93.1.154:5140
墨宝,http://gs.tuntun.tech:6688/udp/239.93.0.215:9132
军事,http://gs.tuntun.tech:6688/udp/239.93.0.204:9076
解密,http://gs.tuntun.tech:6688/udp/239.93.0.199:9048
地理,http://gs.tuntun.tech:6688/udp/239.93.0.200:9052
传奇,http://gs.tuntun.tech:6688/udp/239.93.0.235:1282
收视指南,http://gs.tuntun.tech:6688/udp/239.93.0.195:8012
资讯新干线,http://gs.tuntun.tech:6688/udp/239.93.0.236:1283
蓉城先锋,http://gs.tuntun.tech:6688/udp/239.93.0.91:2101
星空精选,http://gs.tuntun.tech:6688/udp/239.93.1.171:5140
CGTN西班牙语,http://gs.tuntun.tech:6688/udp/239.93.42.49:5140
CGTN法语,http://gs.tuntun.tech:6688/udp/239.93.42.50:5140
每日影院,http://gs.tuntun.tech:6688/udp/239.93.42.35:5140
爱怀旧,http://gs.tuntun.tech:6688/udp/239.93.42.21:5140
爱喜剧,http://gs.tuntun.tech:6688/udp/239.93.42.9:5140
爱奇谈,http://gs.tuntun.tech:6688/udp/239.93.42.22:5140
爱科幻,http://gs.tuntun.tech:6688/udp/239.93.42.10:5140
爱院线,http://gs.tuntun.tech:6688/udp/239.93.42.11:5140
幸福剧场,http://gs.tuntun.tech:6688/udp/239.93.42.30:5140
爱谍战,http://gs.tuntun.tech:6688/udp/239.93.42.14:5140
爱经典,http://gs.tuntun.tech:6688/udp/239.93.42.13:5140
爱悬疑,http://gs.tuntun.tech:6688/udp/239.93.42.12:5140
爱青春,http://gs.tuntun.tech:6688/udp/239.93.42.16:5140
爱都市,http://gs.tuntun.tech:6688/udp/239.93.42.15:5140
少儿天地,http://gs.tuntun.tech:6688/udp/239.93.42.34:5140
爱幼教,http://gs.tuntun.tech:6688/udp/239.93.42.17:5140
爱玩具,http://gs.tuntun.tech:6688/udp/239.93.42.18:5140
爱动漫,http://gs.tuntun.tech:6688/udp/239.93.42.23:5140
求索频道,http://gs.tuntun.tech:6688/udp/239.93.42.24:5140
爱电竞,http://gs.tuntun.tech:6688/udp/239.93.42.19:5140
爱赛车,http://gs.tuntun.tech:6688/udp/239.93.42.20:5140
爱宠宠物,http://gs.tuntun.tech:6688/udp/239.93.42.32:5140
风尚生活,http://gs.tuntun.tech:6688/udp/239.93.42.29:5140
幸福娱乐,http://gs.tuntun.tech:6688/udp/239.93.42.31:5140
来钓鱼吧,http://gs.tuntun.tech:6688/udp/239.93.42.8:5140
麻辣体育,http://gs.tuntun.tech:6688/udp/239.93.42.2:5140
绚影4K,http://gs.tuntun.tech:6688/udp/239.93.42.33:5140

CCTV1,http://111.13.111.242/000000001000PLTV/88888888/224/3221236219/1.m3u8?HlsProfileId=
CCTV2,http://111.13.111.242/000000001000PLTV/88888888/224/3221235743/1.m3u8?HlsProfileId=
CCTV4,http://111.13.111.242/000000001000PLTV/88888888/224/3221236202/1.m3u8?HlsProfileId=
CCTV7,http://111.13.111.242/000000001000PLTV/88888888/224/3221235759/1.m3u8?HlsProfileId=
CCTV9,http://111.13.111.242/000000001000PLTV/88888888/224/3221235767/1.m3u8?HlsProfileId=
CCTV11,http://111.13.111.242/000000001000PLTV/88888888/224/3221236200/1.m3u8?HlsProfileId=
CCTV12,http://111.13.111.242/000000001000PLTV/88888888/224/3221235735/1.m3u8?HlsProfileId=
CCTV13,http://111.13.111.242/000000001000PLTV/88888888/224/3221236187/1.m3u8?HlsProfileId=
CCTV14,http://111.13.111.242/000000001000PLTV/88888888/224/3221235776/1.m3u8?HlsProfileId=
